structure_type,word_order,seed,split,perplexity,mean_surp,f1,top_ll_per_word,top_ten_neg_entropy_per_word,top_ll_per_sent,top_ten_neg_entropy_per_sent
linear-reduction,001001,3435,cc,99.41230324553707,4.599275881109029,90.79,-36.488805246482215,-0.009069088247585172,-354.78065341154934,-0.08817874503127063
linear-reduction,001001,3436,cc,99.35234897446264,4.598672612145226,89.59,-36.32126287636045,-0.008946496996232374,-353.15163894685,-0.0869867902943674
linear-reduction,001001,3437,cc,99.39164143691069,4.599068019954827,90.96,-36.48825744300098,-0.008071173170692919,-354.77532711829934,-0.07847601673864725
no-reduction,001010,3435,cc,33.25056885466923,3.5040718753666207,99.15,-74.27359524624357,-0.006712074301260655,-1129.5899733024999,-0.10208058201072266
no-reduction,001010,3436,cc,33.16549571715421,3.501510049862775,99.00,-74.87329926403308,-0.006659817174069739,-1138.7105718570506,-0.10128582949183963
no-reduction,001010,3437,cc,32.91920979672425,3.4940563717760678,98.93,-73.86672851493897,-0.007320178121488676,-1123.4021406194513,-0.11132892896066056
structure-reduction,001010,3435,cc,34.95643934780088,3.5541026962811437,98.38,-41.41485554046921,-0.008294998496680276,-499.0904241181995,-0.099963026883494
structure-reduction,001010,3436,cc,34.76215304219549,3.548529238703241,98.42,-40.92816915632698,-0.007679045785319126,-493.2253665028999,-0.09254018075888079
structure-reduction,001010,3437,cc,35.103102212977426,3.558289508702458,98.33,-40.94165037045083,-0.007868972960317218,-493.3878286142995,-0.0948289931447828
linear-reduction,001010,3435,cc,100.64192069182417,4.611568877545696,88.29,-36.35345132086306,-0.009138037004116526,-353.4646071927498,-0.08884913379102496
linear-reduction,001010,3436,cc,96.80093009634665,4.572656602669704,88.31,-35.86644040497257,-0.01041704277370509,-348.7294000575505,-0.1012849068887346
linear-reduction,001010,3437,cc,99.62543933832943,4.601417547021152,87.92,-36.36565358831131,-0.010732120865523796,-353.5832498391497,-0.10434841117548786
